STATION_ID,NAME_COOP_SHORT,STATE_PROV,COUNTY,LAT_DEC,LON_DEC,ELEV_GROUND,UTC_OFFSET
23155,BAKERSFIELD AP,CA,KERN,35.4344,-119.0542,489.0,-8
93193,FRESNO YOSEMITE INTL,CA,FRESNO,36.78,-119.7194,333.0,-8
23258,MODESTO AP,CA,STANISLAUS,37.6241,-120.9505,73.0,-8
23259,MONTEREY RGNL AP,CA,MONTEREY,36.5881,-121.8453,165.0,-9
23230,OAKLAND INTL AP,CA,ALAMEDA,37.7214,-122.2208,6.0,-8
24257,REDDING AP,CA,SHASTA,40.5175,-122.2986,497.0,-8
23232,SACRAMENTO AP ASOS,CA,SACRAMENTO,38.5069,-121.495,15.0,-8
23234,SAN FRANCISCO INTL AP,CA,SAN MATEO,37.6197,-122.3647,8.0,-8
23293,SAN JOSE,CA,SANTA CLAR,37.3591,-121.92399999999999,51.0,-8
